Designator,Mid X,Mid Y,Rotation,Layer
J1,11.049,-0.423333,270.0,top
J10,12.827,-38.1,0.0,top
J11,6.375,-65.176,0.0,top
J12,10.947,-53.258,270.0,top
J13,74.9804,-65.839467,180.0,top
J14,67.97,-65.811,180.0,top
J15,12.725,-65.196,0.0,top
J16,8.9916,-81.026,90.0,top
J18,12.9032,-75.8444,270.0,top
J19,51.079,-80.3914,90.0,top
J2,6.477,-12.341333,0.0,top
J20,51.0532,-84.1764,90.0,top
J3,75.0824,-13.0048,180.0,top
J4,68.072,-12.976333,180.0,top
J5,12.827,-12.361333,0.0,top
J6,6.477,-38.08,0.0,top
J7,11.049,-26.162,270.0,top
J8,75.0824,-38.743467,180.0,top
J9,68.072,-38.715,180.0,top
R1,18.923,-5.376333,0.0,top
R10,22.63119,-9.906,0.0,top
R100,26.33938,-33.379833,0.0,top
R101,26.33938,-35.644667,0.0,top
R102,26.33938,-37.9095,0.0,top
R103,26.33938,-40.174333,0.0,top
R104,26.33938,-42.439167,0.0,top
R105,26.33938,-44.704,0.0,top
R106,30.04757,-31.115,0.0,top
R107,30.04757,-33.379833,0.0,top
R108,30.04757,-35.644667,0.0,top
R109,30.04757,-37.9095,0.0,top
R11,22.63119,-12.170833,0.0,top
R110,30.04757,-40.174333,0.0,top
R111,30.04757,-42.439167,0.0,top
R112,30.04757,-44.704,0.0,top
R113,33.75576,-31.115,0.0,top
R114,33.75576,-33.379833,0.0,top
R115,33.75576,-35.644667,0.0,top
R116,33.75576,-37.9095,0.0,top
R117,33.75576,-40.174333,0.0,top
R118,33.75576,-42.439167,0.0,top
R119,33.75576,-44.704,0.0,top
R12,22.63119,-14.435666,0.0,top
R120,37.46395,-31.115,0.0,top
R121,37.46395,-33.379833,0.0,top
R122,37.46395,-35.644667,0.0,top
R123,37.46395,-37.9095,0.0,top
R124,37.46395,-40.174333,0.0,top
R125,37.46395,-42.439167,0.0,top
R126,37.46395,-44.704,0.0,top
R127,41.172141,-31.115,0.0,top
R128,41.172141,-33.379833,0.0,top
R129,41.172141,-35.644667,0.0,top
R13,22.63119,-16.7005,0.0,top
R130,41.172141,-37.9095,0.0,top
R131,41.172141,-40.174333,0.0,top
R132,41.172141,-42.439167,0.0,top
R133,41.172141,-44.704,0.0,top
R134,44.880331,-31.115,0.0,top
R135,44.880331,-33.379833,0.0,top
R136,44.880331,-35.644667,0.0,top
R137,44.880331,-37.9095,0.0,top
R138,44.880331,-40.174333,0.0,top
R139,44.880331,-42.439167,0.0,top
R14,22.63119,-18.965333,0.0,top
R140,44.880331,-44.704,0.0,top
R141,48.588521,-31.115,0.0,top
R142,48.588521,-33.379833,0.0,top
R143,48.588521,-35.644667,0.0,top
R144,48.588521,-37.9095,0.0,top
R145,48.588521,-40.174333,0.0,top
R146,48.588521,-42.439167,0.0,top
R147,48.588521,-44.704,0.0,top
R148,52.296711,-31.115,0.0,top
R149,52.296711,-33.379833,0.0,top
R15,26.33938,-5.376333,0.0,top
R150,52.296711,-35.644667,0.0,top
R151,52.296711,-37.9095,0.0,top
R152,52.296711,-40.174333,0.0,top
R153,52.296711,-42.439167,0.0,top
R154,52.296711,-44.704,0.0,top
R155,56.004901,-31.115,0.0,top
R156,56.004901,-33.379833,0.0,top
R157,56.004901,-35.644667,0.0,top
R158,56.004901,-37.9095,0.0,top
R159,56.004901,-40.174333,0.0,top
R16,26.33938,-7.641166,0.0,top
R160,56.004901,-42.439167,0.0,top
R161,56.004901,-44.704,0.0,top
R162,59.713091,-31.115,0.0,top
R163,59.713091,-33.379833,0.0,top
R164,59.713091,-35.644667,0.0,top
R165,59.713091,-37.9095,0.0,top
R166,59.713091,-40.174333,0.0,top
R167,59.713091,-42.439167,0.0,top
R168,59.713091,-44.704,0.0,top
R169,18.821,-58.211,0.0,top
R17,26.33938,-9.906,0.0,top
R170,18.821,-60.475833,0.0,top
R171,18.821,-62.740667,0.0,top
R172,18.821,-65.0055,0.0,top
R173,18.821,-67.270333,0.0,top
R174,18.821,-69.535167,0.0,top
R175,18.821,-71.8,0.0,top
R176,22.52919,-58.211,0.0,top
R177,22.52919,-60.475833,0.0,top
R178,22.52919,-62.740667,0.0,top
R179,22.52919,-65.0055,0.0,top
R18,26.33938,-12.170833,0.0,top
R180,22.52919,-67.270333,0.0,top
R181,22.52919,-69.535167,0.0,top
R182,22.52919,-71.8,0.0,top
R183,26.23738,-58.211,0.0,top
R184,26.23738,-60.475833,0.0,top
R185,26.23738,-62.740667,0.0,top
R186,26.23738,-65.0055,0.0,top
R187,26.23738,-67.270333,0.0,top
R188,26.23738,-69.535167,0.0,top
R189,26.23738,-71.8,0.0,top
R19,26.33938,-14.435666,0.0,top
R190,29.94557,-58.211,0.0,top
R191,29.94557,-60.475833,0.0,top
R192,29.94557,-62.740667,0.0,top
R193,29.94557,-65.0055,0.0,top
R194,29.94557,-67.270333,0.0,top
R195,29.94557,-69.535167,0.0,top
R196,29.94557,-71.8,0.0,top
R197,33.65376,-58.211,0.0,top
R198,33.65376,-60.475833,0.0,top
R199,33.65376,-62.740667,0.0,top
R2,18.923,-7.641166,0.0,top
R20,26.33938,-16.7005,0.0,top
R200,33.65376,-65.0055,0.0,top
R201,33.65376,-67.270333,0.0,top
R202,33.65376,-69.535167,0.0,top
R203,33.65376,-71.8,0.0,top
R204,37.36195,-58.211,0.0,top
R205,37.36195,-60.475833,0.0,top
R206,37.36195,-62.740667,0.0,top
R207,37.36195,-65.0055,0.0,top
R208,37.36195,-67.270333,0.0,top
R209,37.36195,-69.535167,0.0,top
R21,26.33938,-18.965333,0.0,top
R210,37.36195,-71.8,0.0,top
R211,41.070141,-58.211,0.0,top
R212,41.070141,-60.475833,0.0,top
R213,41.070141,-62.740667,0.0,top
R214,41.070141,-65.0055,0.0,top
R215,41.070141,-67.270333,0.0,top
R216,41.070141,-69.535167,0.0,top
R217,41.070141,-71.8,0.0,top
R218,44.778331,-58.211,0.0,top
R219,44.778331,-60.475833,0.0,top
R22,30.04757,-5.376333,0.0,top
R220,44.778331,-62.740667,0.0,top
R221,44.778331,-65.0055,0.0,top
R222,44.778331,-67.270333,0.0,top
R223,44.778331,-69.535167,0.0,top
R224,44.778331,-71.8,0.0,top
R225,48.486521,-58.211,0.0,top
R226,48.486521,-60.475833,0.0,top
R227,48.486521,-62.740667,0.0,top
R228,48.486521,-65.0055,0.0,top
R229,48.486521,-67.270333,0.0,top
R23,30.04757,-7.641166,0.0,top
R230,48.486521,-69.535167,0.0,top
R231,48.486521,-71.8,0.0,top
R232,52.194711,-58.211,0.0,top
R233,52.194711,-60.475833,0.0,top
R234,52.194711,-62.740667,0.0,top
R235,52.194711,-65.0055,0.0,top
R236,52.194711,-67.270333,0.0,top
R237,52.194711,-69.535167,0.0,top
R238,52.194711,-71.8,0.0,top
R239,55.902901,-58.211,0.0,top
R24,30.04757,-9.906,0.0,top
R240,55.902901,-60.475833,0.0,top
R241,55.902901,-62.740667,0.0,top
R242,55.902901,-65.0055,0.0,top
R243,55.902901,-67.270333,0.0,top
R244,55.902901,-69.535167,0.0,top
R245,55.902901,-71.8,0.0,top
R246,59.611091,-58.211,0.0,top
R247,59.611091,-60.475833,0.0,top
R248,59.611091,-62.740667,0.0,top
R249,59.611091,-65.0055,0.0,top
R25,30.04757,-12.170833,0.0,top
R250,59.611091,-67.270333,0.0,top
R251,59.611091,-69.535167,0.0,top
R252,59.611091,-71.8,0.0,top
R253,30.4038,-80.8736,270.0,top
R254,28.138967,-80.8736,270.0,top
R255,25.874133,-80.8736,270.0,top
R256,23.6093,-80.8736,270.0,top
R257,21.344467,-80.8736,270.0,top
R258,19.079633,-80.8736,270.0,top
R259,16.8148,-80.8736,270.0,top
R26,30.04757,-14.435666,0.0,top
R260,30.4038,-84.58179,270.0,top
R261,28.138967,-84.58179,270.0,top
R262,25.874133,-84.58179,270.0,top
R263,23.6093,-84.58179,270.0,top
R264,21.344467,-84.58179,270.0,top
R265,19.079633,-84.58179,270.0,top
R266,16.8148,-84.58179,270.0,top
R27,30.04757,-16.7005,0.0,top
R28,30.04757,-18.965333,0.0,top
R29,33.75576,-5.376333,0.0,top
R3,18.923,-9.906,0.0,top
R30,33.75576,-7.641166,0.0,top
R31,33.75576,-9.906,0.0,top
R32,33.75576,-12.170833,0.0,top
R33,33.75576,-14.435666,0.0,top
R34,33.75576,-16.7005,0.0,top
R35,33.75576,-18.965333,0.0,top
R36,37.46395,-5.376333,0.0,top
R37,37.46395,-7.641166,0.0,top
R38,37.46395,-9.906,0.0,top
R39,37.46395,-12.170833,0.0,top
R4,18.923,-12.170833,0.0,top
R40,37.46395,-14.435666,0.0,top
R41,37.46395,-16.7005,0.0,top
R42,37.46395,-18.965333,0.0,top
R43,41.172141,-5.376333,0.0,top
R44,41.172141,-7.641166,0.0,top
R45,41.172141,-9.906,0.0,top
R46,41.172141,-12.170833,0.0,top
R47,41.172141,-14.435666,0.0,top
R48,41.172141,-16.7005,0.0,top
R49,41.172141,-18.965333,0.0,top
R5,18.923,-14.435666,0.0,top
R50,44.880331,-5.376333,0.0,top
R51,44.880331,-7.641166,0.0,top
R52,44.880331,-9.906,0.0,top
R53,44.880331,-12.170833,0.0,top
R54,44.880331,-14.435666,0.0,top
R55,44.880331,-16.7005,0.0,top
R56,44.880331,-18.965333,0.0,top
R57,48.588521,-5.376333,0.0,top
R58,48.588521,-7.641166,0.0,top
R59,48.588521,-9.906,0.0,top
R6,18.923,-16.7005,0.0,top
R60,48.588521,-12.170833,0.0,top
R61,48.588521,-14.435666,0.0,top
R62,48.588521,-16.7005,0.0,top
R63,48.588521,-18.965333,0.0,top
R64,52.296711,-5.376333,0.0,top
R65,52.296711,-7.641166,0.0,top
R66,52.296711,-9.906,0.0,top
R67,52.296711,-12.170833,0.0,top
R68,52.296711,-14.435666,0.0,top
R69,52.296711,-16.7005,0.0,top
R7,18.923,-18.965333,0.0,top
R70,52.296711,-18.965333,0.0,top
R71,56.004901,-5.376333,0.0,top
R72,56.004901,-7.641166,0.0,top
R73,56.004901,-9.906,0.0,top
R74,56.004901,-12.170833,0.0,top
R75,56.004901,-14.435666,0.0,top
R76,56.004901,-16.7005,0.0,top
R77,56.004901,-18.965333,0.0,top
R78,59.713091,-5.376333,0.0,top
R79,59.713091,-7.641166,0.0,top
R8,22.63119,-5.376333,0.0,top
R80,59.713091,-9.906,0.0,top
R81,59.713091,-12.170833,0.0,top
R82,59.713091,-14.435666,0.0,top
R83,59.713091,-16.7005,0.0,top
R84,59.713091,-18.965333,0.0,top
R85,18.923,-31.115,0.0,top
R86,18.923,-33.379833,0.0,top
R87,18.923,-35.644667,0.0,top
R88,18.923,-37.9095,0.0,top
R89,18.923,-40.174333,0.0,top
R9,22.63119,-7.641166,0.0,top
R90,18.923,-42.439167,0.0,top
R91,18.923,-44.704,0.0,top
R92,22.63119,-31.115,0.0,top
R93,22.63119,-33.379833,0.0,top
R94,22.63119,-35.644667,0.0,top
R95,22.63119,-37.9095,0.0,top
R96,22.63119,-40.174333,0.0,top
R97,22.63119,-42.439167,0.0,top
R98,22.63119,-44.704,0.0,top
R99,26.33938,-31.115,0.0,top
